time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.345476575653493e-08,-3.651619824057569e-08,10.002681865023296,6.2831318428379,7.532981368374436e-05,0.0,-6.010012156064882e-06,-3.839524472794493e-06,0.08939197802413455,-0.0027357364431146534,0.0036553388147226723,0.0,432.84765541380193,433.1550823729621,434.1553040354427,433.92577033588543
0.12000000000000001,-2.9339459626042878e-06,-2.151219655216019e-06,10.011743430440923,6.2827279953092,0.00033479336393060777,0.0,-0.00011495094943718847,-9.499527710715898e-05,0.21264451271436954,-0.016241112084917422,0.005630074160402539,0.0,444.2609046477049,444.42268278496437,444.67763294692946,443.5702259544157
0.18,-1.820228718296388e-05,-2.1109429025570858e-05,10.027514508319083,6.281622047684271,0.0008385179110206309,0.0,-0.0004374475179280389,-0.0006426889674725609,0.313035136911266,-0.02322077420208568,0.013420425647670445,0.0,437.4092124981779,438.0572777649194,436.7278656799139,436.1454593943573
0.23999999999999996,-6.120158785732112e-05,-8.984164018928798e-05,10.045166470433585,6.279967059174286,0.002093908136987288,0.0,-0.0010825241299020774,-0.001771285477977614,0.2753735363386596,-0.03816805565214222,0.03279828330930494,0.0,390.18485075766574,391.98951322878855,391.40170691519387,390.00799685631074
0.3,-0.00018430434806805752,-0.0002823508857776245,10.067722482734604,6.277258242832971,0.003922924533442895,0.0,-0.0032433570220368,-0.004930719229089714,0.47642900552149636,-0.06517860695066258,0.025398852245652182,0.0,467.94464581566706,467.3686390984568,469.34480076153943,467.2428347750566
0.36000000000000004,-0.0004795225731969265,-0.0007372888214187389,10.102555238116926,6.273188045020971,0.00553761608442116,0.0,-0.006782223154386244,-0.010703417163724895,0.6845567566159274,-0.07376399454382514,0.029776739522888885,0.0,470.63423165709975,470.9730238355461,469.9982925835275,469.3293002175031
0.4200000000000001,-0.0010070391548268598,-0.0016004516856651099,10.146394457005755,6.268719951504252,0.007895701835856528,0.0,-0.011015085493967116,-0.018516427517175065,0.7766854174385537,-0.07591440026322396,0.05361241347962695,0.0,434.1675434801238,436.1632566127517,434.7493145885864,434.5646450494877
0.48000000000000015,-0.0018666798340415773,-0.0030698722112648493,10.198743493703782,6.264012445707623,0.011064877486038682,0.0,-0.018007413988159162,-0.03099647375984879,0.9681276499591126,-0.08410179577552776,0.051185480103986165,0.0,465.058575713289,464.87015649271075,466.72835235715627,466.08436731348894
0.5400000000000001,-0.003193406437058621,-0.005355184176128203,10.260343405462702,6.259175392877697,0.0138204440676013,0.0,-0.026523189345113458,-0.045694087206860516,1.0850837740777122,-0.07443227064483361,0.03250240221526592,0.0,444.1747478254208,442.6412852308565,442.73793798384213,443.527394287627
0.6000000000000002,-0.005100410655870325,-0.008646477769015387,10.329941899411642,6.255205706901094,0.01664337339446309,0.0,-0.03731307600494902,-0.06446907634123124,1.2346997976319058,-0.053335755029414365,0.06650188871275035,0.0,453.3500777674376,456.0745718652359,451.7431379161994,453.43754690565436
0.6600000000000003,-0.007743202331789218,-0.013177637760958445,10.409560506714737,6.25188946948828,0.02109572412282823,0.0,-0.051263508619112164,-0.0869360721971062,1.4190222751215802,-0.05945030048200127,0.08633008915434079,0.0,464.1539492799885,465.71121695940695,464.3635705096939,463.8817922710197
0.7200000000000003,-0.011320690789513494,-0.019118716652773593,10.499742698814538,6.248883077492934,0.02679727335902804,0.0,-0.06859563777231517,-0.11145573433595195,1.5868051555939475,-0.0360052865968241,0.10836153168668036,0.0,458.9885439786723,460.74067836038154,459.31925519066874,461.1730067229106
0.7800000000000004,-0.016037299851441443,-0.026549178436143926,10.59869972353048,6.246906858974848,0.03396566146710711,0.0,-0.08934874199233903,-0.1364375895270551,1.7115522316311584,-0.02741627287038953,0.13552862645528208,0.0,446.37778033238715,448.6013950760267,446.9352809089232,447.6342831007164
0.8400000000000004,-0.022212997510699394,-0.03557550807788826,10.706681986318008,6.245281382818522,0.041886819814920706,0.0,-0.11740880344496882,-0.16461441381602693,1.8875384787099043,-0.026449150904295112,0.12387787862707313,0.0,463.8409949255702,462.9403616610974,463.6010201179321,463.6768598939965
0.9000000000000005,-0.030069887085598494,-0.046169395711137574,10.82102648406409,6.243512054526182,0.04932995709754451,0.0,-0.14517391678749383,-0.1886668602519913,1.9238432326023158,-0.03639053508123249,0.12439849515427022,0.0,420.8727086320934,420.9326745063799,419.83801950120795,418.97428429559125
0.9600000000000005,-0.03964842558424302,-0.0581752124913228,10.935886407393014,6.2411366451591235,0.05681108947107827,0.0,-0.17474347810648108,-0.2117192620808671,1.9048071247944698,-0.046909597858257504,0.12525295962968525,0.0,401.2433101645348,401.33682816688287,402.41849309886453,401.464220277968
1.0200000000000005,-0.05145326273542568,-0.07184294502671473,11.055150008840181,6.23853117515112,0.06438597948104263,0.0,-0.2195779182179599,-0.2441599953958923,2.070289075758004,-0.03723602218508672,0.12816587118212375,0.0,461.78659542727127,462.0301516996495,460.35941084293125,461.1231629945476
1.0800000000000005,-0.066236644753084,-0.0875918062629013,11.186090912857532,6.237075251503164,0.0719500645094282,0.0,-0.2740922834834094,-0.2809934516371223,2.293902297648188,-0.006301575113839539,0.12150762592013802,0.0,480.3438430366545,479.8518416514547,477.3843195595326,479.7386504471853
