Episode,Total Reward
1,-12.380695313061942
2,-2.433395200647488
3,-2.1529971781503616
4,-49.804538587252175
5,-6.130934963692697
6,-17.801144808860478
7,250.2762470536366
8,250.3321434205708
9,250.33260159358323
10,250.33233521524377
11,250.3324275807662
12,250.3323312754212
13,250.33257724819407
14,250.33229469553513
15,250.33235964003532
16,250.33241254339478
17,250.3325408291689
18,250.33223678001804
19,250.332298087953
20,250.33235908791158
21,250.33258784719467
22,250.3325740016404
23,250.33260639688658
24,250.33240197571084
25,250.3323080928366
26,250.33268768815898
27,250.33263074358217
28,250.33235405562277
29,250.3322058415678
30,250.33266090242728
31,250.33258924792935
32,250.33233605075608
33,250.33211177689515
34,250.33261243495292
35,250.33216109964025
36,250.3323363194802
37,250.33210127437033
38,250.33262552820202
39,250.33223599627377
40,250.3324931993871
41,250.33260913088893
42,250.33246501739708
43,250.33220821892968
44,250.33221423492924
45,250.33252097439998
46,250.33268196214857
47,250.3324482956399
48,250.33219670719396
49,250.3320556810041
50,250.33250562799108
51,250.3324744130288
52,250.33264164910344
53,250.3322082340689
54,250.33244077901267
55,250.3323138507194
56,250.33266200683775
57,250.3325613819098
58,250.33268092512307
59,250.33225721160443
60,250.3322635570004
61,250.33240159325288
62,250.33227445365196
63,250.33235191786605
64,250.33222077760277
65,250.33205935221577
66,250.33219682095194
67,250.33265268930623
68,250.33239536067214
69,250.3319992871143
70,250.3325689768011
71,250.33255140220967
72,250.33251429196548
73,250.33246157423696
74,250.33229465022842
75,250.3326101537392
76,250.33244657032063
77,250.33219696447395
78,250.3322504613344
79,250.33248121829052
80,250.332197409861
81,250.3323090014067
82,250.33216232652217
83,250.33268184418242
84,250.33256922316255
85,250.33252491900618
86,250.3325563111497
87,250.33249585681077
88,250.33238244193905
89,250.33266548260818
90,250.33267560001207
91,250.3325269673823
92,250.33234107075788
93,250.33202513107028
94,250.3324118730763
95,250.33215704277836
96,250.3324437971825
97,250.33245540105796
98,250.3324424038567
99,250.33225160692695
100,250.3325564635985
101,250.33269936999224
102,250.33249407880493
103,250.33241464018943
104,250.33225954042632
105,250.33212358277842
106,250.33240641208297
