time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
0.02,11.0,7.0,0.007778292275574115,0.0,0.0,0.0,0.0,0.0,0.7778292275574115,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.5527019601287794
0.04,11.0,7.0,0.031106764469081134,0.0,0.0,0.0,0.0,0.0,1.5550179917932905,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.846596641318096
0.06,11.0,7.0,0.06996080003579706,0.0,0.0,0.0,0.0,0.0,2.330385564878303,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9530753278093091
0.08,11.0,7.0,0.1242922516132677,0.0,0.0,0.0,0.0,0.0,3.1027595928687615,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9861327583775149
0.1,11.0,7.0,0.19402967943431768,0.0,0.0,0.0,0.0,0.0,3.8709831892362354,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9959232955699723
0.12000000000000001,11.0,7.0,0.2790787298840178,0.0,0.0,0.0,0.0,0.0,4.633921855733774,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9987955475290553
0.14,11.0,7.0,0.37932264986891895,0.0,0.0,0.0,0.0,0.0,5.390470142756342,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9996408551024009
0.16,11.0,7.0,0.4946229309625785,0.0,0.0,0.0,0.0,0.0,6.139557966609609,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.999891656057622
0.18,11.0,7.0,0.6248200757097233,0.0,0.0,0.0,0.0,0.0,6.880156508104873,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999668716052782
0.19999999999999998,11.0,7.0,0.7697344770450675,0.0,0.0,0.0,0.0,0.0,7.611283625429545,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999897159022361
0.21999999999999997,11.0,7.0,0.9291674005397267,0.0,0.0,0.0,0.0,0.0,8.332008724036383,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999967539393384
0.23999999999999996,11.0,7.0,1.102902058150594,0.0,0.0,0.0,0.0,0.0,9.041457037050355,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999989567655264
0.25999999999999995,11.0,7.0,1.2907047613319722,0.0,0.0,0.0,0.0,0.0,9.738813281087465,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999996581706634
0.27999999999999997,11.0,7.0,1.4923261407836952,0.0,0.0,0.0,0.0,0.0,10.423324664084825,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999998856694862
0.3,11.0,7.0,1.7075024197588484,0.0,0.0,0.0,0.0,0.0,11.094303233430496,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999609232436
0.32,11.0,7.0,1.935956727733626,0.0,0.0,0.0,0.0,0.0,11.751127564047254,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999863381277
0.34,11.0,7.0,2.1774004413425674,0.0,0.0,0.0,0.0,0.0,12.39324379684691,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999951098502
0.36000000000000004,11.0,7.0,2.4315345397899217,0.0,0.0,0.0,0.0,0.0,13.020166047888484,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999982065388
0.38000000000000006,11.0,7.0,2.6980509624432596,0.0,0.0,0.0,0.0,0.0,13.63147621744528,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999993256115
0.4000000000000001,11.0,7.0,2.976633956976327,0.0,0.0,0.0,0.0,0.0,14.226823235861453,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999997398519
0.4200000000000001,11.0,7.0,3.2669614072294966,0.0,0.0,0.0,0.0,0.0,14.805921789455482,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999998970036
0.4400000000000001,11.0,7.0,3.5687061308715777,0.0,0.0,0.0,0.0,0.0,15.36855057475265,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999581335
0.46000000000000013,11.0,7.0,3.8815371379490355,0.0,0.0,0.0,0.0,0.0,15.91455013299309,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.999999999982523
0.48000000000000015,11.0,7.0,4.205120842470967,0.0,0.0,0.0,0.0,0.0,16.44382031920003,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999925063
0.5000000000000001,11.0,7.0,4.539122220274706,0.0,0.0,0.0,0.0,0.0,16.956317461173875,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999966995
0.5200000000000001,11.0,7.0,4.883205907523453,0.0,0.0,0.0,0.0,0.0,17.452051263700866,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999985069
0.5400000000000001,11.0,7.0,5.237037235281977,0.0,0.0,0.0,0.0,0.0,17.93108151215153,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999993062
0.5600000000000002,11.0,7.0,5.600283196679804,0.0,0.0,0.0,0.0,0.0,18.393514627631227,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999996689
0.5800000000000002,11.0,7.0,5.972613344186908,0.0,0.0,0.0,0.0,0.0,18.839500123079137,0.0,0.0,0.0,900.0,900.0,900.0,900.0,0.9999999999998378
